,class
98320,anomaly
8590,normal
91385,anomaly
54349,anomaly
69568,normal
65413,normal
106434,normal
16874,normal
106132,normal
6183,anomaly
38408,anomaly
95132,anomaly
5780,normal
37409,normal
41742,anomaly
93234,normal
108935,normal
6303,normal
120803,anomaly
31404,normal
41352,normal
81592,anomaly
99567,normal
49238,normal
27149,normal
26482,anomaly
27760,normal
59464,normal
71687,anomaly
5952,normal
109526,normal
15158,anomaly
104633,normal
85882,anomaly
58464,anomaly
88522,anomaly
99135,normal
93620,normal
6409,anomaly
78517,normal
116914,normal
75709,normal
21766,normal
94697,normal
50718,anomaly
32944,normal
46459,normal
33233,normal
102006,normal
14944,normal
71477,normal
74364,normal
36439,anomaly
109,normal
64876,anomaly
121405,normal
78907,normal
354,anomaly
118268,normal
703,anomaly
121680,anomaly
62928,normal
43793,anomaly
110918,anomaly
44429,anomaly
76718,normal
106987,anomaly
77769,normal
61298,normal
104852,normal
39006,anomaly
22208,normal
70161,anomaly
59161,normal
33432,normal
14233,normal
33281,anomaly
10566,anomaly
78914,anomaly
41345,normal
64125,normal
110889,normal
87873,normal
38801,normal
7348,anomaly
109424,anomaly
13345,normal
110793,anomaly
97339,normal
33801,anomaly
86251,normal
64103,anomaly
65835,normal
74571,anomaly
41105,anomaly
59018,normal
12655,normal
10284,anomaly
12050,normal
123098,normal
119390,normal
54003,normal
37912,normal
58331,normal
100693,normal
43778,anomaly
28226,normal
16607,normal
96547,anomaly
68543,normal
45613,anomaly
90708,normal
100531,normal
78485,normal
118574,normal
75232,normal
23532,normal
83458,normal
76924,anomaly
64032,anomaly
51076,anomaly
2138,normal
69121,normal
103541,anomaly
86816,anomaly
120744,normal
106880,anomaly
31595,normal
46420,normal
9134,normal
35639,normal
1944,normal
19241,normal
94187,anomaly
97814,anomaly
33860,normal
100303,anomaly
25018,anomaly
79750,normal
78765,anomaly
100742,anomaly
96369,anomaly
64109,normal
100578,anomaly
116994,anomaly
47311,normal
49423,anomaly
69063,normal
44805,anomaly
124186,normal
61867,normal
110518,anomaly
63049,normal
2141,anomaly
36262,normal
1097,normal
101063,anomaly
93617,anomaly
74096,normal
35358,anomaly
75959,anomaly
98660,normal
90114,anomaly
66730,normal
57523,anomaly
90772,normal
10527,normal
29344,anomaly
16166,normal
73814,anomaly
121645,normal
81892,anomaly
79331,normal
33249,normal
116028,normal
8956,normal
109635,normal
52779,anomaly
14174,normal
450,normal
87031,anomaly
35353,normal
113851,normal
38041,normal
36240,normal
87522,normal
102237,normal
72315,normal
73683,normal
19487,normal
53941,anomaly
105619,anomaly
5386,normal
119245,normal
32820,normal
92079,normal
10145,anomaly
8808,normal
107559,normal
9391,anomaly
87373,normal
59579,normal
101587,normal
74502,normal
33003,anomaly
105089,normal
56493,anomaly
64328,anomaly
31412,anomaly
95241,normal
3257,normal
92041,normal
93096,normal
34274,anomaly
32866,anomaly
10636,normal
17998,normal
114646,anomaly
53561,anomaly
102837,normal
99505,anomaly
104100,normal
32424,anomaly
71316,normal
63717,normal
7540,anomaly
73322,normal
4647,normal
75621,anomaly
104961,normal
39250,anomaly
72655,normal
93880,normal
31627,anomaly
125864,anomaly
44108,anomaly
74251,anomaly
20419,anomaly
5042,anomaly
104,anomaly
33265,anomaly
109180,normal
104341,anomaly
60169,anomaly
20681,normal
97310,anomaly
82890,anomaly
28051,anomaly
34085,normal
102477,normal
30648,normal
85972,anomaly
2321,normal
112761,anomaly
78810,normal
28990,anomaly
38581,anomaly
2044,normal
35750,normal
17934,anomaly
99631,anomaly
76847,normal
111485,normal
101292,normal
122235,anomaly
18213,normal
121195,normal
74230,anomaly
10369,normal
101563,normal
96148,normal
89660,normal
40885,normal
94651,anomaly
54958,normal
41923,normal
90035,anomaly
96514,normal
99331,anomaly
98445,normal
110164,anomaly
8243,normal
61227,anomaly
22579,normal
111093,normal
115542,anomaly
111376,normal
67931,normal
44321,normal
160,normal
9330,normal
38860,normal
14303,anomaly
122113,anomaly
13159,anomaly
88326,anomaly
70413,normal
6437,anomaly
61879,anomaly
15506,anomaly
7454,normal
118223,normal
96182,normal
123903,anomaly
53727,anomaly
1851,normal
55662,normal
15334,anomaly
20184,normal
556,anomaly
49896,anomaly
40093,anomaly
46507,normal
11647,normal
16073,anomaly
54746,normal
35778,anomaly
12127,anomaly
19278,anomaly
118189,normal
36335,normal
19832,anomaly
76472,anomaly
87269,anomaly
78076,anomaly
71284,anomaly
111607,anomaly
16162,normal
46443,anomaly
7384,anomaly
64243,normal
20784,anomaly
14921,anomaly
29679,anomaly
93136,anomaly
1834,normal
57482,normal
81023,normal
77201,normal
26133,normal
